id_chamado,data_abertura,bairro,canal,texto,categoria_real,pred_modelo_a,conf_modelo_a,pred_modelo_b,conf_modelo_b
2026003525,2026-01-16,Botafogo,app_1746,Festas com som automotivo ocorrem toda madrugada na praça da Rua Uranos há mais de dois meses. O barulho é ensurdecedor e já houve brigas no local.,barulho_perturbacao,barulho_perturbacao,0.939,barulho_perturbacao,0.883
2026001235,2026-06-20,Ilha do Governador,telefone_1746,Festas com som automotivo ocorrem toda madrugada na praça da Rua Voluntários da Pátria desde ontem. O barulho é ensurdecedor e já houve brigas no local.,barulho_perturbacao,barulho_perturbacao,0.927,barulho_perturbacao,0.975
2026003000,2026-02-17,Campo Grande,portal_web,"Solicito reparo urgente na iluminação pública da Rua Voluntários da Pátria, altura do nº 497. São 4 postes apagados faz dois dias, deixando o trecho perigoso para pedestres.",iluminacao_publica,iluminacao_publica,0.947,iluminacao_publica,0.829
2026002594,2026-01-15,Tijuca,app_1746,A luminária do poste da Rua Dias da Cruz esquina com a travessa fica acendendo e apagando sem parar há quase um mês. À noite a calçada fica no escuro completo.,iluminacao_publica,coleta_lixo,0.964,iluminacao_publica,0.882
2026003670,2026-01-07,Penha,app_1746,Solicito remoção de entulho e lixo acumulado na esquina da Estrada da Posse com o nº 464. Moradores denunciam descarte irregular no local há 3 dias.,coleta_lixo,buraco_via,0.924,coleta_lixo,0.765
2026003339,2026-02-05,Tijuca,app_1746,"Carros estacionam diariamente sobre a calçada da Av. Ministro Edgard Romero, altura do nº 936, faz dois dias. Pedestres, cadeirantes e mães com carrinho são obrigados a andar pela pista.",estacionamento_irregular,estacionamento_irregular,0.923,estacionamento_irregular,0.904
2026004353,2026-05-05,Méier,app_1746,"O caminhão da coleta passou a vir em horário irregular na Av. das Américas desde ontem, e o lixo fica exposto o dia inteiro. Pedimos regularização do serviço.",coleta_lixo,coleta_lixo,0.826,coleta_lixo,0.857
2026004084,2026-03-16,Penha,app_1746,"Esgoto retornando pelos ralos das casas da Rua Voluntários da Pátria sempre que chove, há mais de dois meses. A rede parece estar entupida e o problema afeta todo o quarteirão.",esgoto_vazamento,buraco_via,0.946,esgoto_vazamento,0.872
2026004938,2026-03-30,Barra da Tijuca,telefone_1746,A luminária do poste da Av. Dom Hélder Câmara esquina com a travessa fica acendendo e apagando sem parar há 3 dias. À noite a calçada fica no escuro completo.,iluminacao_publica,iluminacao_publica,0.874,iluminacao_publica,0.799
2026002027,2026-02-12,Realengo,app_1746,"Há um veículo abandonado estacionado na Rua do Catete em frente ao nº 1218 há 3 dias, ocupando vaga e acumulando lixo embaixo. Solicito remoção.",estacionamento_irregular,estacionamento_irregular,0.969,estacionamento_irregular,0.629
2026004489,2026-06-22,Bangu,portal_web,Via esburacada na Rua Uranos.,buraco_via,buraco_via,0.965,buraco_via,0.637
2026004202,2026-05-18,Santa Cruz,telefone_1746,A caçamba comunitária da Rua São Francisco Xavier está transbordando há uma semana e ninguém faz a remoção. O chorume escorre pela calçada até a porta das casas.,coleta_lixo,coleta_lixo,0.949,coleta_lixo,0.777
2026003846,2026-05-14,Jacarepaguá,app_1746,Solicito operação tapa-buraco na Rua Cândido Benício. O asfalto cedeu desde ontem e formou uma cratera de mais de um metro que alaga quando chove.,buraco_via,buraco_via,0.983,barulho_perturbacao,0.792
2026004297,2026-05-29,Barra da Tijuca,telefone_1746,"Vazamento de água, Rua Dias da Cruz nº 1011.",esgoto_vazamento,barulho_perturbacao,0.864,iluminacao_publica,0.609
2026003833,2026-03-13,Campo Grande,portal_web,O poste em frente ao número 640 da Estrada dos Bandeirantes está com a lâmpada queimada há mais de dois meses. A rua fica totalmente escura à noite e os moradores estão com medo de assaltos.,iluminacao_publica,iluminacao_publica,0.836,iluminacao_publica,0.9
2026001670,2026-06-09,Realengo,telefone_1746,"A via da Rua do Catete está intransitável, cheia de buracos e desníveis há mais de dois meses. Ônibus precisam desviar para a contramão, causando risco de colisão.",buraco_via,buraco_via,0.996,buraco_via,0.92
2026001542,2026-01-29,Penha,app_1746,"Solicito reparo urgente na iluminação pública da Rua Cândido Benício, altura do nº 443. São 4 postes apagados há uma semana, deixando o trecho perigoso para pedestres.",iluminacao_publica,iluminacao_publica,0.911,barulho_perturbacao,0.578
2026003588,2026-02-07,Tijuca,telefone_1746,"O caminhão da coleta passou a vir em horário irregular na Av. Ministro Edgard Romero desde ontem, e o lixo fica exposto o dia inteiro. Pedimos regularização do serviço.",coleta_lixo,coleta_lixo,0.856,coleta_lixo,0.786
2026002686,2026-04-28,Jacarepaguá,telefone_1746,Bueiro transbordando desde ontem.,esgoto_vazamento,buraco_via,0.976,esgoto_vazamento,0.834
2026002620,2026-03-16,Jacarepaguá,telefone_1746,O poste em frente ao número 403 da Rua Conde de Bonfim está com a lâmpada queimada faz dois dias. A rua fica totalmente escura à noite e os moradores estão com medo de assaltos.,iluminacao_publica,iluminacao_publica,0.879,iluminacao_publica,0.876
2026001626,2026-05-26,Irajá,app_1746,Esgoto vazando na Estrada da Posse.,esgoto_vazamento,esgoto_vazamento,0.921,esgoto_vazamento,0.957
2026001852,2026-05-12,Botafogo,telefone_1746,"A entrada de garagem do nº 1366 da Rua São Francisco Xavier é bloqueada por carros estacionados irregularmente há mais de 15 dias, mesmo com a sinalização de proibido.",estacionamento_irregular,estacionamento_irregular,0.906,sinalizacao,0.734
2026001609,2026-05-13,Copacabana,app_1746,Motoristas usam a vaga de deficiente da Rua Dias da Cruz sem credencial todos os dias há mais de dois meses. Pedimos fiscalização no local.,estacionamento_irregular,estacionamento_irregular,0.968,estacionamento_irregular,0.778
2026003476,2026-02-20,Copacabana,portal_web,Solicito remoção de entulho e lixo acumulado na esquina da Av. das Américas com o nº 409. Moradores denunciam descarte irregular no local há quase um mês.,coleta_lixo,coleta_lixo,0.965,coleta_lixo,0.979
2026001027,2026-06-23,Campo Grande,telefone_1746,"Há um vazamento de esgoto a céu aberto na Estrada da Posse, em frente ao nº 509, há 3 dias. A água suja escorre pela rua, o cheiro é insuportável e o asfalto começou a afundar.",esgoto_vazamento,esgoto_vazamento,0.967,esgoto_vazamento,0.894
2026000995,2026-06-12,Jacarepaguá,telefone_1746,Solicito poda da árvore em frente ao nº 870 da Rua Voluntários da Pátria. Os galhos estão encostando na fiação elétrica há mais de 15 dias e há risco de curto-circuito e queda de energia.,poda_arvore,poda_arvore,0.929,buraco_via,0.525
